素材编号,图案编号,数量,工艺
i5c_tpu,捏捏兔,2,
i5c_tpu,贩卖机,1,
i5c_tpu,桃花猫咪,1,
i5c_tpu,毛绒猪,1,
i5c_tpu,英文香蕉,2,
i5c_tpu,爱心smile,1,
i5c_tpu,超萌夏目,1,
i5c_tpu,富士山,1,
i5c_tpu,梵高夜空,1,
i5c_tpu,灰白山,1,
i5c_tpu,水彩绵羊,1,
i5c_tpu,涂鸦喵喵,1,
i5c_tpu,远山,1,
i5c_tpu,拉链猫咪,1,
i5c_tpu,黑底企鹅,1,
i5c_tpu,叶子鹿,1,
i5c_tpu,抱抱龙猫,1,
i5c_tpu,布朗熊,1,
i5c_tpu,英伦彩格,1,
i5c_tpu,女孩与猫,1,
i5c_tpu,和风猫咪,1,
i5c_tpu,跳跃基友狗,2,
i5c_tpu,袜子猫咪,4,
i5c_tpu,星空情侣猫咪,1,
i5c_tpu,绿眼黑猫,1,
i5c_tpu,妖兽,1,
i5c_tpu,灯笼花,1,
i5c_tpu,繁花,1,
i5c_tpu,两只火烈鸟,1,
i5c_tpu,闪耀猫,1,
i5c_tpu,萌版月野兔,1,
i5c_tpu,渐变猫咪,1,
